0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,
3.19825,0.96665,0.763583333,1.176416667,2.297883333,1.53555,1.506233333,1.428666667,1.417566667,2.905216667,3.50515,3.961533333,3.801633333,3.855233333,4.157733333,3.85935,0.919516667,2.13015,2.710466667,3.92815,3.3386,4.455083333,4.7587,2.331033333,
1.815283333,1.725816667,1.511166667,1.43575,1.1553,1.240366667,1.3628,1.50735,3.194285714,5.518565217,5.657512195,4.359139535,5.172395833,4.722683333,4.24935,4.02065,3.3224,2.9012,4.01812,4.311516667,3.88075,3.837133333,3.531566667,3.69325,
2.173483333,1.667283333,1.713316667,1.1803,1.367733333,1.172233333,1.109983333,1.767783333,2.692866667,5.527766667,6.388516667,6.853433333,9.344316667,3.415083333,9.81259322,5.195438596,5.5384,5.851298246,4.5844,3.68385,4.411233333,5.175633333,4.790116667,4.345916667,
4.345916667,3.4199,2.07205,1.935133333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.671583333,1.878783333,1.641616667,1.400816667,1.268016667,1.388516667,1.217266667,1.09645,1.21615,1.394116667,1.691316667,1.52785,2.19195,2.279616667,2.692483333,2.646266667,3.058166667,3.076933333,3.145883333,3.10845,2.70095,2.594383333,2.197183333,1.953083333,
1.889266667,1.961583333,1.7462,1.711716667,1.256333333,1.433,1.403883333,1.258383333,1.213833333,1.351316667,1.773483333,1.820916667,2.21475,2.6226,2.948283333,3.18095,3.21665,3.210516667,3.435566667,2.861433333,2.7245,2.40915,2.169383333,2.047083333,
2.0758,1.552133333,1.825033333,1.278183333,1.648133333,1.256416667,1.303966667,1.463133333,1.39695,1.358716667,1.853783333,1.948416667,2.42885,3.0756,3.244266667,3.512183333,3.745283333,3.734983333,3.927066667,3.605566667,3.14015,2.920483333,2.585133333,2.3633,
2.012833333,2.306383333,1.994733333,1.756433333,1.74855,1.7623,1.315166667,1.7149,1.365983333,1.780383333,1.821266667,2.18285,2.572666667,2.891583333,3.1308,3.06675,3.25705,3.192733333,3.422433333,2.6667,2.845533333,2.3409,2.086116667,1.856466667,
2.040383333,1.582333333,1.672316667,1.32165,1.591783333,1.2849,1.2226,1.242983333,1.229383333,1.4471,1.88495,2.013566667,2.196133333,2.55195,2.805833333,2.80445,3.000416667,3.174833333,3.096983333,3.022883333,2.7859,2.353183333,2.115533333,1.845016667,
1.87915,1.78405,1.455016667,1.3041,1.568583333,1.219483333,1.248683333,1.188383333,1.266,1.2609,1.46635,2.011,2.069466667,2.345616667,2.624683333,3.07305,2.910733333,2.860816667,3.052616667,2.996866667,2.704033333,2.336533333,1.976883333,1.7236,
1.823683333,1.615266667,1.53005,1.275433333,1.31605,1.3299,1.115216667,1.174316667,1.5143,1.365383333,1.8442,1.6615,2.12945,2.544883333,3.040633333,4.83785,5.26865,4.805866667,3.81785,3.5748,3.05315,2.1522,2.273783333,1.923616667,
1.739433333,1.576033333,1.694966667,1.187,1.474916667,1.1212,1.19025,3.3063,4.465,3.602233333,2.793316667,4.208766667,3.32905,4.457428571,6.010680851,5.1055,5.227233333,5.19995,3.88865,3.6927,4.120883333,3.783666667,1.410416667,1.678883333,
3.302333333,3.573733333,2.335483333,1.759133333,1.787583333,1.536133333,1.491,1.1877,2.4673,2.965316667,3.622116667,4.176433333,4.957516667,3.471366667,3.024433333,3.7561,4.240383333,3.780616667,3.156133333,3.09275,3.954783333,4.454883333,4.041633333,2.67785,
