0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,,,,
0,0,0,0,0,0,0,0,19.20 ,145.63 ,214.07 ,249.10 ,260.57 ,265.60 ,222.47 ,223.13 ,218.70 ,202.60 ,175.73 ,145.67 ,62.87 ,5.3 ,0,0,,,,
0,0,0,0,0,0,0,0,19.50 ,166.60 ,227.53 ,250.27 ,258.07 ,265.90 ,220.37 ,226.73 ,216.23 ,205.13 ,187.00 ,149.67 ,67.00 ,5.4 ,0,0,,,,
0,0,0,0,0,0,0,0,18.37 ,174.07 ,241.40 ,260.20 ,251.60 ,257.67 ,221.00 ,220.30 ,220.83 ,211.93 ,179.03 ,145.40 ,44.90 ,3.6 ,0,0,,,,
0,0,0,0,0,0,0,0,16.67 ,151.27 ,213.93 ,237.43 ,251.17 ,254.07 ,258.60 ,258.53 ,257.73 ,245.83 ,225.77 ,190.80 ,79.50 ,5.4 ,0,0,,,,
0,0,0,0,0,0,0,0,14.60 ,133.30 ,187.40 ,254.60 ,253.40 ,264.50 ,248.40 ,256.50 ,251.60 ,220.80 ,212.80 ,193.80 ,81.20 ,6.3,0,0,,,,
0,0,0,0,0,0,0,0,19.40 ,169.70 ,237.00 ,248.70 ,249.10 ,259.20 ,249.90 ,247.50 ,233.50 ,201.90 ,183.40 ,176.70 ,64.70 ,5,0,0,,,,
0,0,0,0,0,0,0,0,20.90 ,181.80 ,278.00 ,300.50 ,306.20 ,309.00 ,307.70 ,306.70 ,307.10 ,289.80 ,278.30 ,238.10 ,89.80 ,6.3,0,0,,,,
0,0,0,0,0,0,0,0,21.10 ,198.40 ,281.70 ,300.00 ,306.80 ,309.00 ,306.20 ,303.80 ,300.90 ,273.50 ,255.40 ,213.70 ,84.20 ,5.7,0,0,,,,
0,0,0,0,0,0,0,0,18.30 ,164.10 ,250.60 ,269.80 ,283.10 ,287.10 ,289.70 ,293.30 ,292.10 ,279.50 ,250.00 ,205.80 ,72.80 ,5.8,0,0,,,,
0,0,0,0,0,0,0,0,17.30 ,164.40 ,246.70 ,272.40 ,287.80 ,292.30 ,277.70 ,269.40 ,273.50 ,257.70 ,233.60 ,200.20 ,76.00 ,6.3,0,0,,,,
0,0,0,0,0,0,0,0,19.40 ,166.30 ,252.60 ,273.80 ,286.40 ,290.20 ,285.60 ,292.30 ,284.50 ,274.10 ,241.90 ,196.80 ,71.00 ,5.6,0,0,,,,
0,0,0,0,0,0,0,0,18.20 ,162.10 ,247.60 ,273.60 ,289.10 ,293.10 ,275.00 ,269.20 ,269.60 ,254.50 ,231.50 ,192.10 ,72.00 ,5.7,0,0,,,,
0,0,0,0,0,0,0,0,21.10 ,187.40 ,298.70 ,322.40 ,328.60 ,330.30 ,327.00 ,327.50 ,326.50 ,293.60 ,282.40 ,232.50 ,81.00 ,5.6,0,0,,,,
0,0,0,0,0,0,0,0,17.50 ,175.20 ,282.70 ,316.20 ,322.10 ,323.30 ,322.10 ,322.50 ,323.30 ,292.10 ,270.40 ,209.60 ,65.80 ,4.5,0,0,,,,
0,0,0,0,0,0,0,0,17.20 ,178.20 ,301.50 ,314.70 ,321.80 ,324.60 ,310.70 ,310.60 ,305.70 ,281.10 ,244.90 ,197.40 ,58.50 ,5.3,0,0,,,,
0,0,0,0,0,0,0,0,15.80 ,153.60 ,261.90 ,283.20 ,296.50 ,302.30 ,311.10 ,302.40 ,300.80 ,295.20 ,266.80 ,205.50 ,68.80 ,4.7,0,0,,,,
0,0,0,0,0,0,0,0,10.70 ,122.20 ,240.50 ,275.50 ,294.90 ,297.10 ,282.90 ,292.10 ,281.60 ,264.60 ,241.70 ,165.60 ,50.50 ,2.9,0,0,,,,
0,0,0,0,0,0,0,0,22.80 ,171.20 ,304.40 ,327.20 ,334.30 ,337.00 ,310.90 ,311.10 ,308.50 ,256.10 ,233.40 ,169.80 ,51.40 ,3.5,0,0,,,,
0,0,0,0,0,0,0,0,10.70 ,93.50 ,181.70 ,242.30 ,251.00 ,273.70 ,292.40 ,288.80 ,280.10 ,247.90 ,224.60 ,164.40 ,38.70 ,2.4,0,0,,,,
0,0,0,0,0,0,0,0,12.70 ,90.10 ,160.10 ,197.20 ,223.60 ,236.80 ,270.80 ,267.00 ,268.60 ,250.50 ,218.80 ,154.20 ,53.20 ,3.6,0,0,,,,
0,0,0,0,0,0,0,0,15.60 ,114.30 ,204.70 ,246.40 ,262.80 ,277.70 ,294.00 ,288.20 ,297.20 ,278.30 ,253.60 ,183.40 ,54.20 ,3.8,0,0,,,,
0,0,0,0,0,0,0,0,16.40 ,117.50 ,216.60 ,248.90 ,276.60 ,284.50 ,288.00 ,285.70 ,276.40 ,265.40 ,215.70 ,160.20 ,69.90 ,4.3,0,0,,,,
0,0,0,0,0,0,0,0,17.50 ,126.00 ,240.10 ,288.50 ,306.00 ,320.70 ,299.00 ,298.30 ,296.30 ,265.80 ,206.50 ,148.70 ,55.20 ,3.8,0,0,,,,
0,0,0,0,0,0,0,0,14.50 ,110.40 ,203.30 ,271.70 ,289.30 ,305.60 ,307.20 ,294.00 ,289.30 ,271.60 ,234.80 ,160.00 ,45.30 ,2.7,0,0,,,,
0,0,0,0,0,0,0,0,8.70 ,88.70 ,148.10 ,193.00 ,209.90 ,228.40 ,241.10 ,242.50 ,234.70 ,214.80 ,181.00 ,129.00 ,43.30 ,2.7,0,0,,,,
0,0,0,0,0,0,0,0,10.50 ,109.40 ,190.90 ,221.20 ,238.10 ,251.50 ,233.80 ,232.50 ,229.50 ,193.20 ,160.70 ,112.80 ,27.20 ,1.5,0,0,,,,
0,0,0,0,0,0,0,0,12.30 ,112.20 ,216.90 ,263.90 ,300.00 ,297.20 ,293.10 ,297.20 ,293.20 ,244.10 ,208.10 ,144.70 ,31.60 ,1.7,0,0,,,,
0,0,0,0,0,0,0,0,7.20 ,76.60 ,159.00 ,196.10 ,212.80 ,227.40 ,263.70 ,250.30 ,240.50 ,227.50 ,178.80 ,124.00 ,31.10 ,2.1,0,0,,,,
0,0,0,0,0,0,0,0,9.00 ,86.80 ,182.40 ,232.90 ,267.20 ,280.20 ,315.60 ,311.00 ,309.10 ,291.50 ,258.80 ,156.90 ,38.60 ,2,0,0,,,,
0,0,0,0,0,0,0,0,12.30 ,102.90 ,188.60 ,261.00 ,284.60 ,297.90 ,306.20 ,298.90 ,302.70 ,305.60 ,264.40 ,195.40 ,41.70 ,2,0,0,,,,
0,0,0,0,0,0,0,0,8.8,98.8,222,262,282,253,244.8,232.7,232.2,202.4,191.4,113,21.8,0.6,0,0,,,,
0,0,0,0,0,0,0,0,8.3,99.9,212,249.4,276,283.9,268.8,264.6,255.5,217.4,172.3,94,17.9,0.5,0,0,,,,
0,0,0,0,0,0,0,0,7.4,94.1,255.3,310,334.2,348.8,332.1,331.3,315.7,299,250.8,113,7.1,0.2,0,0,,,,
0,0,0,0,0,0,0,0,8.1,101,229.2,259.3,325.8,328.6,297.5,297.8,265.1,209.5,168.3,100.2,27.6,0.6,0,0,,,,
0,0,0,0,0,0,0,0,8.9,118.5,259.8,303.8,325.5,325.7,303.6,310.5,294.8,260.8,221.1,134.7,19.9,0.5,0,0,,,,
0,0,0,0,0,0,0,0,10.3,127.2,263.6,307.3,321.5,325.5,326.3,319.3,314.8,310.7,256.8,174.5,25.2,0.5,0,0,,,,
0,0,0,0,0,0,0,0,6.9,90.6,222.1,286,291.8,311.6,299.7,296,291.4,271.2,225.6,142.3,17.7,0.4,0,0,,,,
0,0,0,0,0,0,0,0,11.8,86.5,189.7,160.2,202.9,202.7,228,222.4,229.1,210.3,161.4,106.1,22,0.6,0,0,,,,
